id,answer_id,comment,date_created,reason,session
305,27,sin comentario,2022-02-16 00:11:56.826,sin razón,1691042932
306,43,sin comentario,2022-02-16 00:12:10.803,sin razón,1691042932
307,69,sin comentario,2022-02-16 23:03:03.609,sin razón,1690959440
308,19,sin comentario,2022-02-16 23:03:20.120,sin razón,1690959440
309,34,sin comentario,2022-02-16 23:03:39.273,sin razón,1690959440
310,5,sin comentario,2022-02-16 23:03:50.724,sin razón,1690959440
311,7,sin comentario,2022-02-16 23:04:02.660,sin razón,1690959440
312,99,sin comentario,2022-02-16 23:04:11.006,sin razón,1690959440
313,42,sin comentario,2022-02-16 23:04:16.840,sin razón,1690959440
314,86,sin comentario,2022-02-16 23:04:35.852,sin razón,1690959440
315,85,sin comentario,2022-02-16 23:05:03.470,sin razón,1690959440
316,89,sin comentario,2022-02-16 23:05:11.140,sin razón,1690959440
317,62,sin comentario,2022-02-16 23:05:15.973,sin razón,1690959440
318,80,sin comentario,2022-02-16 23:05:24.791,sin razón,1690959440
319,102,sin comentario,2022-02-16 23:05:29.916,sin razón,1690959440
320,72,sin comentario,2022-02-16 23:05:36.115,sin razón,1690959440
321,49,sin comentario,2022-02-16 23:05:43.850,sin razón,1690959440
322,25,sin comentario,2022-02-16 23:05:51.599,sin razón,1690959440
323,103,sin comentario,2022-02-16 23:05:56.113,sin razón,1690959440
324,23,sin comentario,2022-02-16 23:06:03.146,sin razón,1690959440
325,74,sin comentario,2022-02-16 23:06:07.969,sin razón,1690959440
326,11,sin comentario,2022-02-16 23:06:11.699,sin razón,1691103549
327,53,sin comentario,2022-02-16 23:06:15.432,sin razón,1690959440
328,55,sin comentario,2022-02-16 23:06:20.067,sin razón,1690959440
329,4,sin comentario,2022-02-16 23:06:26.850,sin razón,1690959440
330,104,sin comentario,2022-02-16 23:06:31.738,sin razón,1690959440
331,75,sin comentario,2022-02-16 23:06:36.992,sin razón,1691103549
332,78,sin comentario,2022-02-16 23:06:40.227,sin razón,1690959440
333,77,sin comentario,2022-02-16 23:06:49.762,sin razón,1690959440
334,69,sin comentario,2022-02-16 23:06:56.884,sin razón,1691103549
335,30,sin comentario,2022-02-16 23:07:04.825,sin razón,1691103549
336,26,sin comentario,2022-02-16 23:07:09.530,sin razón,1690959440
337,54,sin comentario,2022-02-16 23:07:16.170,sin razón,1690959440
338,12,sin comentario,2022-02-16 23:07:19.469,sin razón,1691103549
339,57,sin comentario,2022-02-16 23:07:23.670,sin razón,1690959440
340,4,sin comentario,2022-02-16 23:07:31.825,sin razón,1691103549
341,35,sin comentario,2022-02-16 23:07:38.809,sin razón,1690959440
342,27,sin comentario,2022-02-16 23:07:42.612,sin razón,1691103549
343,90,sin comentario,2022-02-16 23:07:56.476,sin razón,1691103549
344,36,sin comentario,2022-02-16 23:07:56.949,sin razón,1691166409
345,5,sin comentario,2022-02-16 23:08:04.956,sin razón,1691103549
346,92,sin comentario,2022-02-16 23:08:16.379,sin razón,1690959440
347,3,sin comentario,2022-02-16 23:08:16.992,sin razón,1691103549
348,52,sin comentario,2022-02-16 23:08:22.068,sin razón,1690959440
349,72,sin comentario,2022-02-16 23:08:25.097,sin razón,1691103549
